Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Composition II,11448,ENG,102,4,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Marano Campus Center 306,Spring2020,Lecture,Diane Marie  Zeller,30
Composition II,10333,ENG,102,5,Undergraduate ,3,,9:35 am - 10:55 am,TR,Marano Campus Center 210,Spring2020,Lecture,Jessie Rose  Moore,30
Composition II,10329,ENG,102,6,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Marano Campus Center 256,Spring2020,Lecture,Thomas   Bertonneau,30
Composition II,10331,ENG,102,7,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Park Hall 314,Spring2020,Lecture,Mary A  Hess,30
Composition II,10358,ENG,102,1,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Marano Campus Center 258,Spring2020,Lecture,Douglas A  Guerra,30
Composition II,13980,ENG,102,2,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Marano Campus Center 306,Spring2020,Lecture,Kenneth S  Nichols,30
Composition II,10355,ENG,102,3,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Marano Campus Center 322,Spring2020,Lecture,Linda M.  Black-Ochsenbein,30
CompositionII,10356,ENG,102,4,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Marano Campus Center 258,Spring2020,Lecture,Elizabeth Briande  Bishop,30
CompositionII,10357,ENG,102,5,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Marano Campus Center 210,Spring2020,Lecture,Stephanie Sue  Pritchard,30
Composition II,10353,ENG,102,6,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Marano Campus Center 322,Spring2020,Lecture,Thomas   Bertonneau,30
Composition II,10334,ENG,102,7,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Marano Campus Center 208,Spring2020,Lecture,Linda M.  Black-Ochsenbein,30
Composition II,10365,ENG,102,1,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 106A,Spring2020,Lecture,Jarrod   Hagadorn,30
Composition II,10643,ENG,102,2,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Marano Campus Center 223,Spring2020,Lecture,Robert M  Early,30
Composition II,10332,ENG,102,3,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Mahar Hall 104,Spring2020,Lecture,Timothy W  McCoy,30
Composition II,10330,ENG,102,4,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Marano Campus Center 208,Spring2020,Lecture,Amanda Rae  Trainham,30
Composition II,10359,ENG,102,5,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Marano Campus Center 208,Spring2020,Lecture,Amanda Rae  Trainham,30
Composition II,10350,ENG,102,6,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Park Hall 212,Spring2020,Lecture,Robert M  Early,30
Composition II-International,11714,ENG,102,7,Undergraduate ,3,,9:35 am - 10:55 am,TR,Marano Campus Center 231,Spring2020,Lecture,Melissa Ruth  Webb,30
Composition II,14322,ENG,102,1,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Marano Campus Center 164,Spring2020,Lecture,Diane Marie  Zeller,30
Composition II,10360,ENG,102,2,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Marano Campus Center 323,Spring2020,Lecture,Jessie Rose  Moore,30
Composition II,10982,ENG,102,3,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Park Hall 212,Spring2020,Lecture,Robert M  Early,30
Composition II,11374,ENG,102,4,Undergraduate ,3,,8:00 am - 9:20 am,TR,Marano Campus Center 258,Spring2020,Lecture,William T.  Brangan,30
Composition II,11963,ENG,102,5,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Marano Campus Center 322,Spring2020,Lecture,Kenneth S  Nichols,30
